"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY106550","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2173/2009(H3N2))","","","","","","p"
"CY106551","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2174/2009(H3N2))","","","","","","p"
"CY106552","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2176/2009(H3N2))","","","","","","p"
"CY106553","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2178/2009(H3N2))","","","","","","p"
"CY106396","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ218/2007(H3N2))","","","","","","p"
"CY106554","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2180/2009(H3N2))","","","","","","p"
"CY106555","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2181/2009(H3N2))","","","","","","p"
"CY106556","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2182/2009(H3N2))","","","","","","p"
"CY106557","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2183/2009(H3N2))","","","","","","p"
"CY106558","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2184/2009(H3N2))","","","","","","p"
"CY106559","877","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong/SZ2186/2009(H3N2))","","","","","","p"
"CY106397","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ22/2007(H3N2))","","","","","","p"
"CY106398","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ220/2007(H3N2))","","","","","","p"
"CY106399","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ221/2007(H3N2))","","","","","","p"
"CY106400","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ23/2007(H3N2))","","","","","","p"
"CY106401","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ233/2007(H3N2))","","","","","","p"
"CY106402","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ24/2007(H3N2))","","","","","","p"
"CY106403","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ244/2007(H3N2))","","","","","","p"
"CY106404","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ249/2007(H3N2))","","","","","","p"
"CY106405","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ26/2007(H3N2))","","","","","","p"
"CY106406","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ27/2007(H3N2))","","","","","","p"
"CY106407","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ29/2007(H3N2))","","","","","","p"
"CY106408","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ30/2007(H3N2))","","","","","","p"
"CY106409","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ32/2007(H3N2))","","","","","","p"
"CY106410","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ33/2007(H3N2))","","","","","","p"
"CY106411","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ34/2007(H3N2))","","","","","","p"
"CY106412","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ35/2007(H3N2))","","","","","","p"
"CY106413","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ36/2007(H3N2))","","","","","","p"
"CY106414","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ37/2007(H3N2))","","","","","","p"
"CY106415","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ38/2007(H3N2))","","","","","","p"
"CY106416","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ39/2007(H3N2))","","","","","","p"
"CY106417","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ4/2007(H3N2))","","","","","","p"
"CY106418","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ40/2007(H3N2))","","","","","","p"
"CY106419","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ41/2007(H3N2))","","","","","","p"
"CY106420","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ42/2007(H3N2))","","","","","","p"
"CY106421","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ43/2007(H3N2))","","","","","","p"
"CY106465","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4353/2008(H3N2))","","","","","","p"
"CY106466","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4354/2008(H3N2))","","","","","","p"
"CY106467","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4355/2008(H3N2))","","","","","","p"
"CY106468","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4356/2008(H3N2))","","","","","","p"
"CY106469","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4357/2008(H3N2))","","","","","","p"
"CY106470","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4358/2008(H3N2))","","","","","","p"
"CY106471","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4359/2008(H3N2))","","","","","","p"
"CY106472","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4360/2008(H3N2))","","","","","","p"
"CY106473","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4361/2008(H3N2))","","","","","","p"
"CY106474","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4362/2008(H3N2))","","","","","","p"
"CY106475","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4363/2008(H3N2))","","","","","","p"
"CY106476","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4364/2008(H3N2))","","","","","","p"
"CY106477","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4365/2008(H3N2))","","","","","","p"
"CY106478","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4366/2008(H3N2))","","","","","","p"
"CY106479","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4367/2008(H3N2))","","","","","","p"
"CY106480","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4368/2008(H3N2))","","","","","","p"
"CY106481","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4369/2008(H3N2))","","","","","","p"
"CY106482","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4370/2008(H3N2))","","","","","","p"
"CY106483","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4371/2008(H3N2))","","","","","","p"
"CY106484","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4372/2008(H3N2))","","","","","","p"
"CY106485","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4373/2008(H3N2))","","","","","","p"
"CY106486","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4374/2008(H3N2))","","","","","","p"
"CY106487","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4375/2008(H3N2))","","","","","","p"
"CY106488","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4376/2008(H3N2))","","","","","","p"
"CY106489","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4377/2008(H3N2))","","","","","","p"
"CY106490","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4378/2008(H3N2))","","","","","","p"
"CY106491","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4379/2008(H3N2))","","","","","","p"
"CY106492","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4380/2008(H3N2))","","","","","","p"
"CY106493","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4381/2008(H3N2))","","","","","","p"
"CY106494","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4382/2008(H3N2))","","","","","","p"
"CY106495","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4383/2008(H3N2))","","","","","","p"
"CY106496","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4384/2008(H3N2))","","","","","","p"
"CY106497","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4385/2008(H3N2))","","","","","","p"
"CY106498","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4386/2008(H3N2))","","","","","","p"
"CY106499","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4387/2008(H3N2))","","","","","","p"
"CY106500","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4388/2008(H3N2))","","","","","","p"
"CY106501","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4389/2008(H3N2))","","","","","","p"
"CY106502","877","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/SZ4390/2008(H3N2))","","","","","","p"
"CY106422","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ44/2007(H3N2))","","","","","","p"
"CY106423","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ45/2007(H3N2))","","","","","","p"
"CY106424","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ46/2007(H3N2))","","","","","","p"
"CY106425","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ47/2007(H3N2))","","","","","","p"
"CY106426","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ48/2007(H3N2))","","","","","","p"
"CY106427","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ49/2007(H3N2))","","","","","","p"
"CY106428","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ5/2007(H3N2))","","","","","","p"
"CY106429","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ50/2007(H3N2))","","","","","","p"
"CY106430","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ51/2007(H3N2))","","","","","","p"
"CY106431","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ52/2007(H3N2))","","","","","","p"
"CY106432","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ54/2007(H3N2))","","","","","","p"
"CY106433","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ55/2007(H3N2))","","","","","","p"
"CY106434","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ56/2007(H3N2))","","","","","","p"
"CY106435","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ57/2007(H3N2))","","","","","","p"
"CY106436","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ59/2007(H3N2))","","","","","","p"
"CY106437","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ6/2007(H3N2))","","","","","","p"
"CY106438","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ60/2007(H3N2))","","","","","","p"
"CY106439","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ61/2007(H3N2))","","","","","","p"
"CY106440","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ62/2007(H3N2))","","","","","","p"
"CY106441","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ64/2007(H3N2))","","","","","","p"
"CY106442","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ65/2007(H3N2))","","","","","","p"
"CY106443","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ66/2007(H3N2))","","","","","","p"
"CY106444","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ67/2007(H3N2))","","","","","","p"
"CY106445","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ69/2007(H3N2))","","","","","","p"
"CY106446","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ7/2007(H3N2))","","","","","","p"
"CY106447","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ70/2007(H3N2))","","","","","","p"
"CY106448","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ71/2007(H3N2))","","","","","","p"
"CY106449","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ75/2007(H3N2))","","","","","","p"
"CY106450","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ77/2007(H3N2))","","","","","","p"
"CY106451","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ78/2007(H3N2))","","","","","","p"
"CY106452","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ8/2007(H3N2))","","","","","","p"
"CY106453","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ84/2007(H3N2))","","","","","","p"
"CY106454","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ85/2007(H3N2))","","","","","","p"
"CY106455","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ86/2007(H3N2))","","","","","","p"
"CY106456","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ9/2007(H3N2))","","","","","","p"
"CY106457","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ92/2007(H3N2))","","","","","","p"
"CY106458","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ93/2007(H3N2))","","","","","","p"
"CY106459","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ94/2007(H3N2))","","","","","","p"
"CY106460","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ95/2007(H3N2))","","","","","","p"
"CY106461","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ96/2007(H3N2))","","","","","","p"
"CY106462","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ97/2007(H3N2))","","","","","","p"
"CY106463","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ98/2007(H3N2))","","","","","","p"
"CY106464","877","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Guangdong/SZ99/2007(H3N2))","","","","","","p"
"MK117070","1701","Human","4 (HA)","H3N2","China","N","2017/03/31","Influenza A virus (A/Guangdong/YueFang277.4/2017)","","","","","","c"
"CY108933","960","Human","4 (HA)","H3N2","China","N","2009/08/03","Influenza A virus (A/Guangxi-Luohu/1453/2009(H3N2))","","","","","","p"
"CY108741","809","Human","4 (HA)","H3N2","China","N","2008/05/27","Influenza A virus (A/Hainan-Sanya/58/2008(H3N2))","","","","","","p"
"KP456762","809","Human","4 (HA)","H3N2","China","N","2008/05/27","Influenza A virus (A/Hainan-Sanya/58/2008(H3N2))","","","","","","p"
"KM208505","1701","Human","4 (HA)","H3N2","China","N","2010/08/03","Influenza A virus (A/Hangzhou/641/2010(H3N2))","","","","","","c"
"KM208506","1701","Human","4 (HA)","H3N2","China","N","2010/08/27","Influenza A virus (A/Hangzhou/716/2010(H3N2))","","","","","","c"
"KM208507","1701","Human","4 (HA)","H3N2","China","N","2010/09/08","Influenza A virus (A/Hangzhou/752/2010(H3N2))","","","","","","c"
"KM208508","1701","Human","4 (HA)","H3N2","China","N","2010/09/14","Influenza A virus (A/Hangzhou/766/2010(H3N2))","","","","","","c"
"KM208509","1701","Human","4 (HA)","H3N2","China","N","2010/09/17","Influenza A virus (A/Hangzhou/779/2010(H3N2))","","","","","","c"
"KM208510","1701","Human","4 (HA)","H3N2","China","N","2010/09/21","Influenza A virus (A/Hangzhou/790/2010(H3N2))","","","","","","c"
"KM208511","1701","Human","4 (HA)","H3N2","China","N","2010/12/20","Influenza A virus (A/Hangzhou/952/2010(H3N2))","","","","","","c"
"KM208512","1701","Human","4 (HA)","H3N2","China","N","2010/12/23","Influenza A virus (A/Hangzhou/960/2010(H3N2))","","","","","","c"
"KM208516","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/A101/2012(H3N2))","","","","","","c"
"KM208518","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/A109/2012(H3N2))","","","","","","c"
"KM208519","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/A110/2012(H3N2))","","","","","","c"
"KM208531","1701","Human","4 (HA)","H3N2","China","N","2013/02/17","Influenza A virus (A/Hangzhou/A121/2013(H3N2))","","","","","","c"
"KM208532","1701","Human","4 (HA)","H3N2","China","N","2013/02/19","Influenza A virus (A/Hangzhou/A126/2013(H3N2))","","","","","","c"
"KM208533","1701","Human","4 (HA)","H3N2","China","N","2013/02/25","Influenza A virus (A/Hangzhou/A155/2013(H3N2))","","","","","","c"
"KM208534","1701","Human","4 (HA)","H3N2","China","N","2013/03/01","Influenza A virus (A/Hangzhou/A158/2013(H3N2))","","","","","","c"
"KM208522","1701","Human","4 (HA)","H3N2","China","N","2012/07/13","Influenza A virus (A/Hangzhou/A289/2012(H3N2))","","","","","","c"
"KM208525","1701","Human","4 (HA)","H3N2","China","N","2012/08/07","Influenza A virus (A/Hangzhou/A331/2012(H3N2))","","","","","","c"
"KM208527","1701","Human","4 (HA)","H3N2","China","N","2012/08/16","Influenza A virus (A/Hangzhou/A379/2012(H3N2))","","","","","","c"
"KM208528","1701","Human","4 (HA)","H3N2","China","N","2012/08/28","Influenza A virus (A/Hangzhou/A389/2012(H3N2))","","","","","","c"
"KM208529","1701","Human","4 (HA)","H3N2","China","N","2012/09/07","Influenza A virus (A/Hangzhou/A399/2012(H3N2))","","","","","","c"
"KM208535","1701","Human","4 (HA)","H3N2","China","N","2013/07/08","Influenza A virus (A/Hangzhou/A429/2013(H3N2))","","","","","","c"
"KM208536","1701","Human","4 (HA)","H3N2","China","N","2013/07/29","Influenza A virus (A/Hangzhou/A469/2013(H3N2))","","","","","","c"
"KM208537","1701","Human","4 (HA)","H3N2","China","N","2013/08/15","Influenza A virus (A/Hangzhou/A511/2013(H3N2))","","","","","","c"
"KM208538","1701","Human","4 (HA)","H3N2","China","N","2013/08/27","Influenza A virus (A/Hangzhou/A544/2013(H3N2))","","","","","","c"
"KM208539","1701","Human","4 (HA)","H3N2","China","N","2013/09/15","Influenza A virus (A/Hangzhou/A601/2013(H3N2))","","","","","","c"
"KM208540","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A649/2013(H3N2))","","","","","","c"
"KM208541","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A662/2013(H3N2))","","","","","","c"
"KM208542","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A666/2013(H3N2))","","","","","","c"
"KM208543","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Hangzhou/A683/2013(H3N2))","","","","","","c"
"KM208546","1701","Human","4 (HA)","H3N2","China","N","2013/10/18","Influenza A virus (A/Hangzhou/A691/2013(H3N2))","","","","","","c"
"KM208547","1701","Human","4 (HA)","H3N2","China","N","2013/10/22","Influenza A virus (A/Hangzhou/A698/2013(H3N2))","","","","","","c"
"KM208548","1701","Human","4 (HA)","H3N2","China","N","2013/11/15","Influenza A virus (A/Hangzhou/A765/2013(H3N2))","","","","","","c"
"KM208549","1701","Human","4 (HA)","H3N2","China","N","2013/11/15","Influenza A virus (A/Hangzhou/A773/2013(H3N2))","","","","","","c"
"KM208551","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/Hangzhou/A776/2013(H3N2))","","","","","","c"
"KM208552","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/Hangzhou/A779/2013(H3N2))","","","","","","c"
"KM208553","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Hangzhou/A784/2013(H3N2))","","","","","","c"
"KM208554","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Hangzhou/A789/2013(H3N2))","","","","","","c"
"KM208556","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/A796/2013(H3N2))","","","","","","c"
"KM208557","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/A800/2013(H3N2))","","","","","","c"
"KM208560","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/A803/2013(H3N2))","","","","","","c"
"KM208561","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/A806/2013(H3N2))","","","","","","c"
"KM208564","1701","Human","4 (HA)","H3N2","China","N","2013/12/04","Influenza A virus (A/Hangzhou/A812/2013(H3N2))","","","","","","c"
"KM208565","1701","Human","4 (HA)","H3N2","China","N","2013/12/04","Influenza A virus (A/Hangzhou/A816/2013(H3N2))","","","","","","c"
"KM208566","1701","Human","4 (HA)","H3N2","China","N","2013/12/04","Influenza A virus (A/Hangzhou/A825/2013(H3N2))","","","","","","c"
"KM208567","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/A831/2013(H3N2))","","","","","","c"
"KM208513","1701","Human","4 (HA)","H3N2","China","N","2012/01/24","Influenza A virus (A/Hangzhou/A89/2012(H3N2))","","","","","","c"
"KM208515","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/A98/2012(H3N2))","","","","","","c"
"KM208520","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/B102/2012(H3N2))","","","","","","c"
"KM208521","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/B110/2012(H3N2))","","","","","","c"
"KM208523","1701","Human","4 (HA)","H3N2","China","N","2012/07/13","Influenza A virus (A/Hangzhou/B319/2012(H3N2))","","","","","","c"
"KM208524","1701","Human","4 (HA)","H3N2","China","N","2012/07/25","Influenza A virus (A/Hangzhou/B334/2012(H3N2))","","","","","","c"
"KM208526","1701","Human","4 (HA)","H3N2","China","N","2012/08/07","Influenza A virus (A/Hangzhou/B360/2012(H3N2))","","","","","","c"
"KM208530","1701","Human","4 (HA)","H3N2","China","N","2013/01/29","Influenza A virus (A/Hangzhou/B48/2013(H3N2))","","","","","","c"
"KM208544","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Hangzhou/B599/2013(H3N2))","","","","","","c"
"KM208545","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Hangzhou/B600/2013(H3N2))","","","","","","c"
"KM208550","1701","Human","4 (HA)","H3N2","China","N","2013/11/15","Influenza A virus (A/Hangzhou/B690/2013(H3N2))","","","","","","c"
"KM208555","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Hangzhou/B709/2013(H3N2))","","","","","","c"
"KM208558","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/B718/2013(H3N2))","","","","","","c"
"KM208559","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/B721/2013(H3N2))","","","","","","c"
"KM208562","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/B728/2013(H3N2))","","","","","","c"
"KM208563","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/B735/2013(H3N2))","","","","","","c"
"KM208568","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/B750/2013(H3N2))","","","","","","c"
"KM208569","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/B754/2013(H3N2))","","","","","","c"
"KM208514","1701","Human","4 (HA)","H3N2","China","N","2012/01/24","Influenza A virus (A/Hangzhou/B87/2012(H3N2))","","","","","","c"
"KM208517","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/B98/2012(H3N2))","","","","","","c"
"KP458220","1698","Human","4 (HA)","H3N2","China","N","2010/01/12","Influenza A virus (A/Hebei Baoding Anguo/51/2010(H3N2))","","","","","","nc"
"KP457704","1698","Human","4 (HA)","H3N2","China","N","2007/01/10","Influenza A virus (A/Hebei Qiaodong/51/2007(H3N2))","","","","","","nc"
"KP458001","1021","Human","4 (HA)","H3N2","China","N","2009/09/29","Influenza A virus (A/Hebei Shijiazhuang Xinhua/1583/2009(H3N2))","","","","","","p"
"KP456830","1698","Human","4 (HA)","H3N2","China","N","2011/01/12","Influenza A virus (A/Hebei Shijiazhuang Yuhua/133/2011(H3N2))","","","","","","nc"
"KP457737","1698","Human","4 (HA)","H3N2","China","N","2009/06/29","Influenza A virus (A/Hebei Xinhua/1193/2009(H3N2))","","","","","","nc"
"KP456767","1698","Human","4 (HA)","H3N2","China","N","2007/01/13","Influenza A virus (A/Hebei Yunhe/33/2007(H3N2))","","","","","","nc"
"CY108822","960","Human","4 (HA)","H3N2","China","N","2008/12/13","Influenza A virus (A/Hebei-Nanshi/1137/2008(H3N2))","","","","","","p"
"CY108653","960","Human","4 (HA)","H3N2","China","N","2007","Influenza A virus (A/Hebei-Nanshi/12/2007(H3N2))","","","","","","p"
"CY108654","960","Human","4 (HA)","H3N2","China","N","2007/01/12","Influenza A virus (A/Hebei-Nanshi/123/2007(H3N2))","","","","","","p"
"CY108655","960","Human","4 (HA)","H3N2","China","N","2007/01/03","Influenza A virus (A/Hebei-Nanshi/15/2007(H3N2))","","","","","","p"
"CY108854","906","Human","4 (HA)","H3N2","China","N","2009/04","Influenza A virus (A/Hebei-Qiaoxi/53/2009(H3N2))","","","","","","p"
"CY108836","906","Human","4 (HA)","H3N2","China","N","2009/01","Influenza A virus (A/Hebei-Xinshi/118/2009(H3N2))","","","","","","p"
